Clusters,KNN,Error,Algorithm
1.0,1,0.8561611,0
15.0,1,0.8436145,0
5.0,1,0.87861794,0
1.0,50,0.5922713,0
15.0,50,0.6593142,0
5.0,50,0.64070195,0
1.0,3,0.79742324,0
15.0,3,0.7533191,0
5.0,3,0.72127306,0
1.0,500,0.5922713,0
15.0,500,0.58155096,0
5.0,500,0.59951955,0
1.0,300,0.5922713,0
15.0,300,0.5971704,0
5.0,300,0.59951955,0
1.0,30,0.6000435,0
15.0,30,0.6686286,0
5.0,30,0.64101464,0
1.0,1,0.77360517,1
15.0,1,0.72797847,1
5.0,1,0.8582285,1
1.0,50,0.5922713,1
15.0,50,0.5869398,1
5.0,50,0.6113917,1
1.0,3,0.76738197,1
15.0,3,0.6276998,1
5.0,3,0.66738695,1
1.0,500,0.5922713,1
15.0,500,0.58522105,1
5.0,500,0.59951955,1
1.0,300,0.5922713,1
15.0,300,0.58085155,1
5.0,300,0.59951955,1
1.0,30,0.59927964,1
15.0,30,0.5890328,1
5.0,30,0.6095255,1
1.0,0,0.5923,2
15.0,0,0.583,2
5.0,0,0.5995,2
1.0,0,0.7058,3
15.0,0,0.677,3
5.0,0,0.7011,3
