Clusters,KNN,Error,Algorithm
1.0,1,0.836918,0
15.0,1,0.81965965,0
5.0,1,0.86072683,0
1.0,50,0.64344174,0
15.0,50,0.6940795,0
5.0,50,0.6618369,0
1.0,3,0.7520245,0
15.0,3,0.7714677,0
5.0,3,0.7409914,0
1.0,500,0.64344174,0
15.0,500,0.6283815,0
5.0,500,0.6238716,0
1.0,300,0.64344174,0
15.0,300,0.65538245,0
5.0,300,0.6238716,0
1.0,30,0.62874335,0
15.0,30,0.69637483,0
5.0,30,0.6665559,0
1.0,1,1.1097256,1
15.0,1,0.78521734,1
5.0,1,0.87217134,1
1.0,50,0.64344174,1
15.0,50,0.6285741,1
5.0,50,0.6358851,1
1.0,3,0.7867028,1
15.0,3,0.6827048,1
5.0,3,0.6879734,1
1.0,500,0.64344174,1
15.0,500,0.63004607,1
5.0,500,0.6238716,1
1.0,300,0.64344174,1
15.0,300,0.62401974,1
5.0,300,0.6238716,1
1.0,30,0.63215417,1
15.0,30,0.63246256,1
5.0,30,0.62727696,1
1.0,0,0.6434,2
15.0,0,0.6271,2
5.0,0,0.6239,2
1.0,0,0.7599,3
15.0,0,0.7452,3
5.0,0,0.7461,3
