Clusters,KNN,Error,Algorithm
1.0,1,1.2573184,0
15.0,1,0.8531031,0
5.0,1,0.8697889,0
1.0,50,0.6564067,0
15.0,50,0.7098206,0
5.0,50,0.69627833,0
1.0,3,0.92264426,0
15.0,3,0.8299237,0
5.0,3,0.7858386,0
1.0,500,0.6564067,0
15.0,500,0.648534,0
5.0,500,0.6570416,0
1.0,300,0.6564067,0
15.0,300,0.6735435,0
5.0,300,0.6570416,0
1.0,30,0.65126705,0
15.0,30,0.714418,0
5.0,30,0.7018455,0
1.0,1,1.3180828,1
15.0,1,0.8349822,1
5.0,1,0.93420565,1
1.0,50,0.6564067,1
15.0,50,0.6473157,1
5.0,50,0.6706878,1
1.0,3,0.74544805,1
15.0,3,0.70950305,1
5.0,3,0.7179185,1
1.0,500,0.6564067,1
15.0,500,0.649086,1
5.0,500,0.6570416,1
1.0,300,0.6564067,1
15.0,300,0.6456779,1
5.0,300,0.6570416,1
1.0,30,0.65084374,1
15.0,30,0.6518376,1
5.0,30,0.66146713,1
1.0,0,0.6564,2
15.0,0,0.6468,2
5.0,0,0.657,2
1.0,0,0.7928,3
15.0,0,0.7848,3
5.0,0,0.7892,3
