Clusters,KNN,Error,Algorithm
1.0,1,0.74314415,0
15.0,1,0.7042017,0
5.0,1,0.7708271,0
1.0,50,0.5873133,0
15.0,50,0.5746093,0
5.0,50,0.61082315,0
1.0,3,0.63895124,0
15.0,3,0.6415528,0
5.0,3,0.6025036,0
1.0,500,0.5873133,0
15.0,500,0.57899916,0
5.0,500,0.59130895,0
1.0,300,0.5873133,0
15.0,300,0.6370271,0
5.0,300,0.59130895,0
1.0,30,0.60771275,0
15.0,30,0.5558961,0
5.0,30,0.5925004,0
1.0,1,0.784148,1
15.0,1,0.8794365,1
5.0,1,0.83883125,1
1.0,50,0.5873133,1
15.0,50,0.56424123,1
5.0,50,0.5545433,1
1.0,3,0.64166355,1
15.0,3,0.674353,1
5.0,3,0.6119845,1
1.0,500,0.5873133,1
15.0,500,0.5800021,1
5.0,500,0.59130895,1
1.0,300,0.5873133,1
15.0,300,0.5702349,1
5.0,300,0.59130895,1
1.0,30,0.58519,1
15.0,30,0.5706986,1
5.0,30,0.5615649,1
1.0,0,0.5873,2
15.0,0,0.5835,2
5.0,0,0.5913,2
1.0,0,0.9237,3
15.0,0,0.9235,3
5.0,0,0.9396,3
